nbhd_id,chittagong,comilla_south,comilla_north,naryanganj_east,narsingdi,dhamrai,bhaluka,gazipur_north,main,x_1,x_2,x_3,x_4,x_5,x_6,y_1,y_2,y_3,y_4,y_5,y_6,cent_long,cent_lat,strata_main,ineligible,main_sample,backup
674,0,0,0,0,0,0,0,1,0,90.382339,90.372505,90.367554,90.372437,90.382271,90.387222,24.194666,24.194628,24.202419,24.210247,24.210283,24.202494,90.377388,24.202457,-996,0,0,
675,0,0,0,0,0,0,0,1,0,90.397118,90.387291,90.382339,90.387222,90.397049,90.402,24.186911,24.186874,24.194666,24.202494,24.20253,24.194738,90.392174,24.194702,-996,0,0,
676,0,0,0,0,0,0,0,1,0,90.411835,90.402,90.397049,90.401932,90.411766,90.416718,24.194775,24.194738,24.20253,24.210358,24.210392,24.2026,90.406883,24.202566,-996,0,0,
677,0,0,0,0,0,0,0,1,0,90.426613,90.416779,90.411835,90.416718,90.426544,90.431496,24.187017,24.186981,24.194775,24.2026,24.202635,24.194843,90.421661,24.194809,-996,0,0,
678,0,0,0,0,0,0,0,1,0,90.44133,90.431496,90.426544,90.431435,90.441261,90.446213,24.194876,24.194843,24.202635,24.210461,24.210495,24.202702,90.436378,24.202669,-996,0,0,
679,0,0,0,0,0,0,0,1,0,90.456108,90.446274,90.44133,90.446213,90.456039,90.460991,24.187117,24.187084,24.194876,24.202702,24.202736,24.194942,90.451157,24.19491,-996,0,0,
680,0,0,0,0,0,0,0,1,0,90.470818,90.460991,90.456039,90.46093,90.470764,90.475708,24.194973,24.194942,24.202736,24.21056,24.210592,24.202799,90.465874,24.202768,-996,0,0,
681,0,0,0,0,0,0,0,1,0,90.485596,90.475769,90.470818,90.475708,90.485542,90.490486,24.18721,24.18718,24.194973,24.202799,24.202829,24.195034,90.480652,24.195005,-996,0,0,
682,0,0,0,0,0,0,0,1,0,90.500313,90.490486,90.485542,90.490425,90.500259,90.505203,24.195065,24.195034,24.202829,24.210653,24.210684,24.202888,90.495369,24.20286,-996,0,0,
683,0,0,0,0,0,0,0,1,0,90.529808,90.519974,90.515038,90.51992,90.529755,90.534698,24.19515,24.195122,24.202917,24.210741,24.21077,24.202972,90.524864,24.202946,-996,0,0,
684,0,0,0,0,0,0,0,1,0,90.352768,90.342941,90.337982,90.342865,90.352699,90.357651,24.210171,24.210131,24.21792,24.225748,24.225788,24.217999,90.347816,24.21796,-996,0,0,4
